  unhandled argument: C:\Users\vitor\Documents\MIEI\Visualização e Iluminação 1\Trabalho Prático\bin_x64\Release\gl_commandlist_basic.exe
DEVICE: GeForce_GTX_1650
vsync: on
scene.vert.glsl ...
scene.frag.glsl ...
scene.vert.glsl ...
scene.geo.glsl ...
scene.frag.glsl ...
  Timer Setup;	 GL       7; CPU    127; (microseconds, avg 128)
  Timer Draw;	 GL    6859; CPU   2817; (microseconds, avg 128)
  Timer Blit;	 GL     132; CPU     61; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     71; (microseconds, avg 128)

 Timer Frame;	 GL    6936; CPU   2809; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    129; (microseconds, avg 128)
  Timer Draw;	 GL    6838; CPU   2513; (microseconds, avg 128)
  Timer Blit;	 GL      79; CPU     54; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     62; (microseconds, avg 128)

 Timer Frame;	 GL    6920; CPU   2498; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU     94; (microseconds, avg 128)
  Timer Draw;	 GL    6837; CPU   2275; (microseconds, avg 128)
  Timer Blit;	 GL      63; CPU     39; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     49; (microseconds, avg 128)

 Timer Frame;	 GL    7038; CPU   2885; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    126; (microseconds, avg 128)
  Timer Draw;	 GL    6867; CPU   2583; (microseconds, avg 128)
